ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
PRIVISCL.NS,Privi Speciality Chemicals Limited,Chemicals,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,75.36,71.91,73.81,5.0,75.36,71.91,78.81,14.29,46.79,194187431.48,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",1,11,Stage 2,watchlist,weekly_near_pivot,77.51,10,1.2999999999999972,False,False,False,True,False
CUMMINSIND.NS,Cummins India Limited,Capital Goods,Unknown,True,F&O,1,Stage 2,Stage 2,Messy Stage 2,Messy Stage 2,Stage 2 • Messy Stage 2,0.64,"Long-term structure is still constructive, but the short-term/weekly structure is not clean.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,61.7,71.44,66.08,10.0,61.7,71.44,76.08,9.19,47.22,2711639358.66,"Stage 2, Messy Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",2,3,Stage 2,watchlist,weekly_near_pivot,80.92,1,-4.840000000000003,False,False,False,False,False
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,forming_vcp,weekly_breakout,watchlist,65.45,64.08,64.83,10.0,65.45,64.08,74.83,15.79,35.98,2567394519.43,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",3,7,Stage 2,forming_vcp,weekly_breakout,79.31,4,-4.480000000000004,False,False,False,False,False
ARVIND.NS,Arvind Limited,Textiles,Unknown,False,Cash,1,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-07-21,,watchlist,weekly_forming,watchlist,63.8,65.8,64.7,10.0,63.8,65.8,74.7,35.26,84.99,487321966.81,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",4,6,Stage 2,watchlist,weekly_forming,80.22,2,-5.519999999999996,False,False,False,False,False
APOLLO.NS,Apollo Micro Systems Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_forming,watchlist,63.42,65.8,64.49,10.0,63.42,65.8,74.49,36.0,84.56,5809013104.23,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",5,50,Stage 2,watchlist,weekly_forming,67.79,45,6.699999999999989,False,False,False,True,True
MEDANTA.NS,Global Health Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,65.29,59.33,62.61,10.0,65.29,59.33,72.61,23.99,27.96,188852261.61,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",6,45,Stage 2,watchlist,weekly_breakout,68.74,39,3.8700000000000045,False,False,False,True,True
AEGISLOG.NS,Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,68.57,73.0,70.56,2.0,68.57,73.0,72.56,89.61,108.39,3804614548.25,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",7,12,Stage 2,watchlist,weekly_near_pivot,77.32,5,-4.759999999999991,False,False,False,True,False
NYKAA.NS,FSN E-Commerce Ventures Limited,Consumer Services,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,near_pivot,weekly_breakout,watchlist,77.46,64.22,71.5,0.0,77.46,64.22,71.5,22.89,41.27,2406607502.58,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",8,32,Stage 2,forming_vcp,weekly_breakout,70.64,24,0.8599999999999994,False,False,False,True,True
MANAPPURAM.NS,Manappuram Finance Limited,Financial Services,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,74.98,62.42,69.33,2.0,74.98,62.42,71.33,23.27,22.9,1367293982.3,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",9,10,Stage 2,watchlist,weekly_breakout,77.93,1,-6.6000000000000085,False,False,False,False,False
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,75.59,61.58,69.29,2.0,75.59,61.58,71.29,18.51,19.24,1527922287.21,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",10,33,Stage 2,watchlist,weekly_breakout,70.54,23,0.75,False,False,False,True,True
SSWL.NS,Steel Strips Wheels Limited,Automobile and Auto Components,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,65.42,65.8,65.59,5.0,65.42,65.8,70.59,34.56,53.42,511950586.59,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",11,14,Stage 2,watchlist,weekly_breakout,75.42,3,-4.829999999999998,False,False,False,False,False
SHILPAMED.NS,Shilpa Medicare Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,48.0,73.8,59.61,10.0,48.0,73.8,69.61,49.29,126.19,558051711.23,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",12,17,Stage 2,watchlist,weekly_near_pivot,74.56,5,-4.950000000000003,False,False,False,False,False
ELGIEQUIP.NS,Elgi Equipments Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,49.61,71.34,59.39,10.0,49.61,71.34,69.39,7.87,47.5,198567690.09,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",13,1,Stage 2,watchlist,weekly_near_pivot,91.61,-12,-22.22,False,False,False,False,False
ACE.NS,Action Construction Equipment Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,49.55,71.23,59.31,10.0,49.55,71.23,69.31,11.51,31.83,589766624.6,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong",14,9,Stage 2,watchlist,weekly_near_pivot,78.52,-5,-9.209999999999994,False,False,False,False,False
GOKEX.NS,Gokaldas Exports Limited,Textiles,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,47.1,72.9,58.71,10.0,47.1,72.9,68.71,11.48,48.49,337146122.15,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",15,15,Stage 2,watchlist,weekly_near_pivot,75.36,0,-6.650000000000006,False,False,False,False,False
IPCALAB.NS,IPCA Laboratories Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,58.32,58.63,58.46,10.0,58.32,58.63,68.46,17.6,27.37,542836002.87,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",16,4,Stage 2,watchlist,weekly_breakout,80.74,-12,-12.280000000000001,False,False,False,False,False
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,45.18,73.8,58.06,10.0,45.18,73.8,68.06,15.13,135.78,590628094.42,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",17,22,Stage 2,watchlist,weekly_near_pivot,73.11,5,-5.049999999999997,False,False,False,False,True
SONACOMS.NS,Sona BLW Precision Forgings Limited,Automobile and Auto Components,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,60.7,65.8,63.0,5.0,60.7,65.8,68.0,25.34,70.42,1676048046.65,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",18,19,Stage 2,watchlist,weekly_breakout,74.17,1,-6.170000000000002,False,False,False,False,False
EICHERMOT.NS,Eicher Motors Limited,Automobile and Auto Components,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,58.84,67.88,62.91,5.0,58.84,67.88,67.91,7.95,12.9,5287545221.0,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",19,89,Stage 2,watchlist,weekly_near_pivot,62.52,70,5.3899999999999935,False,False,False,False,True
FEDERALBNK.NS,The Federal Bank Limited,Financial Services,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,67.44,62.75,65.33,2.0,67.44,62.75,67.33,21.7,35.78,2760232873.23,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",20,24,Stage 2,watchlist,weekly_breakout,72.22,4,-4.890000000000001,False,False,False,False,True
LAURUSLABS.NS,Laurus Labs Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,44.44,71.8,56.75,10.0,44.44,71.8,66.75,42.14,59.03,3522623106.32,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",21,25,Stage 2,watchlist,weekly_breakout,71.59,4,-4.840000000000003,False,False,False,False,False
EPL.NS,EPL Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,47.56,67.97,56.74,10.0,47.56,67.97,66.74,3.55,18.2,116591661.56,"Stage 2, Clean Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",22,2,Stage 2,near_pivot,weekly_near_pivot,88.13,-20,-21.39,False,False,False,False,False
LTF.NS,L&T Finance Ltd.,Financial Services,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,62.16,67.86,64.72,2.0,62.16,67.86,66.72,8.95,11.69,2593539453.66,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",23,26,Stage 2,watchlist,weekly_breakout,71.39,3,-4.670000000000002,False,False,False,False,False
PHOENIXLTD.NS,The Phoenix Mills Limited,Realty,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,64.55,69.35,66.71,0.0,64.55,69.35,66.71,17.32,18.16,1839485980.28,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",24,48,Stage 2,watchlist,weekly_breakout,68.23,24,-1.5200000000000102,False,False,False,False,False
RAJRATAN.NS,Rajratan Global Wire Limited,Automobile and Auto Components,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,62.7,60.4,61.67,5.0,62.7,60.4,66.67,20.25,5.76,109350678.58,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",25,18,Stage 2,watchlist,weekly_breakout,74.46,-7,-7.789999999999992,False,False,False,False,False
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,44.12,71.47,56.43,10.0,44.12,71.47,66.43,12.64,52.08,380732278.49,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",26,27,Stage 2,watchlist,weekly_near_pivot,71.35,1,-4.9199999999999875,False,False,False,False,False
WELCORP.NS,Welspun Corp Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,41.88,73.8,56.24,10.0,41.88,73.8,66.24,34.95,119.68,2401181760.78,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",27,31,Stage 2,watchlist,weekly_near_pivot,71.19,4,-4.950000000000003,False,False,False,False,False
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,43.64,71.09,55.99,10.0,43.64,71.09,65.99,13.95,28.0,3642983588.81,"Stage 2, Clean Stage 2, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",28,29,Stage 2,watchlist,weekly_breakout,71.22,1,-5.230000000000004,False,False,False,False,False
SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_watchlist,watchlist,73.37,33.75,55.54,10.0,73.37,33.75,65.54,18.73,58.74,504566648.24,"Stage 2, Clean Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",29,97,Stage 2,watchlist,weekly_watchlist,61.49,68,4.050000000000004,False,False,False,False,False
MINDACORP.NS,Minda Corporation Limited,Automobile and Auto Components,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,51.06,71.66,60.33,5.0,51.06,71.66,65.33,28.79,29.84,237575442.97,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",30,35,Stage 2,watchlist,weekly_near_pivot,69.98,5,-4.650000000000006,False,False,False,False,False
KIMS.NS,Krishna Institute of Medical Sciences Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,48.86,62.95,55.2,10.0,48.86,62.95,65.2,17.88,33.64,390587535.08,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",31,5,Stage 2,watchlist,weekly_breakout,80.45,-26,-15.25,False,False,False,False,False
JLHL.NS,Jupiter Life Line Hospitals Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,48.88,62.83,55.16,10.0,48.88,62.83,65.16,26.82,23.46,55284492.58,"Stage 2, Early Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong",32,38,Stage 2,watchlist,weekly_breakout,69.63,6,-4.469999999999999,False,False,False,False,False
THERMAX.NS,Thermax Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Messy Stage 2,Messy Stage 2,Stage 2 • Messy Stage 2,0.64,"Long-term structure is still constructive, but the short-term/weekly structure is not clean.",,,2026-07-21,,watchlist,weekly_forming,watchlist,45.17,65.8,54.45,10.0,45.17,65.8,64.45,15.56,68.68,1260750111.35,"Stage 2, Messy Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",33,34,Stage 2,watchlist,weekly_forming,70.2,1,-5.75,False,False,False,False,False
BIOCON.NS,Biocon Ltd.,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,40.18,71.77,54.4,10.0,40.18,71.77,64.4,22.69,26.03,2942527390.14,"Stage 2, Clean Stage 2, weekly_vcp_ok, weekly_strong",34,8,Stage 2,watchlist,weekly_near_pivot,79.23,-26,-14.829999999999998,False,False,False,False,False
GABRIEL.NS,Gabriel India Limited,Automobile and Auto Components,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,52.2,68.0,59.31,5.0,52.2,68.0,64.31,42.13,67.44,1133507189.98,"Stage 2, Extended Stage 2, weekly_vcp_ok, weekly_strong",35,42,Stage 2,watchlist,weekly_breakout,69.26,7,-4.950000000000003,False,False,False,False,False
FORTIS.NS,Fortis Healthcare Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",Stage 2 reclaimed after 3 confirmation runs.,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,43.28,67.66,54.25,10.0,43.28,67.66,64.25,1.15,17.41,1414128246.44,"Stage 2, Early Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",36,36,Stage 2 Failed,watchlist,weekly_near_pivot,69.74,0,-5.489999999999995,False,False,True,False,False
KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_forming,watchlist,46.68,63.19,54.11,10.0,46.68,63.19,64.11,15.75,38.15,499383538.89,"Stage 2, Early Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",37,30,Stage 2,watchlist,weekly_forming,71.19,-7,-7.079999999999998,False,False,False,False,False
MAXHEALTH.NS,Max Healthcare Institute Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,41.56,69.34,54.06,10.0,41.56,69.34,64.06,8.8,15.57,2199992980.86,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",38,37,Stage 2,watchlist,weekly_near_pivot,69.74,-1,-5.679999999999993,False,False,False,False,False
BALRAMCHIN.NS,Balrampur Chini Mills Limited,Fast Moving Consumer Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,Clean Stage 2,Stage 2 • Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,62.2,65.8,63.82,0.0,62.2,65.8,63.82,21.6,58.55,427009016.97,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",39,28,Stage 2,watchlist,weekly_breakout,71.34,-11,-7.520000000000003,False,False,False,False,False
ALKEM.NS,Alkem Laboratories Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,43.05,66.9,53.78,10.0,43.05,66.9,63.78,6.08,4.92,954906964.17,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",40,43,Stage 2,watchlist,weekly_near_pivot,69.19,3,-5.409999999999997,False,False,False,False,False
TIMETECHNO.NS,Time Technoplast Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,41.25,69.05,53.76,10.0,41.25,69.05,63.76,10.36,22.17,820122936.78,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong",41,64,Stage 2,watchlist,weekly_breakout,65.7,23,-1.9400000000000048,False,False,False,False,False
JINDWORLD.NS,Jindal Worldwide Limited,Textiles,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",Stage 2 confirmed with 3 raw confirmation runs.,,2026-07-21,,watchlist,weekly_breakout,watchlist,43.85,65.8,53.73,10.0,43.85,65.8,63.73,42.66,55.4,491954365.46,"Stage 2, Extended Stage 2, weekly_vcp_ok, weekly_strong",42,41,Not Sure,watchlist,weekly_breakout,69.3,-1,-5.57,False,False,True,False,False
GLENMARK.NS,Glenmark Pharmaceuticals Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Messy Stage 2,Messy Stage 2,Stage 2 • Messy Stage 2,0.64,"Long-term structure is still constructive, but the short-term/weekly structure is not clean.",,,2026-07-21,,watchlist,weekly_forming,watchlist,47.09,61.64,53.64,10.0,47.09,61.64,63.64,-3.82,20.19,1286372009.08,"Stage 2, Messy Stage 2, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",43,51,Stage 2,watchlist,weekly_forming,67.68,8,-4.040000000000006,False,False,False,False,False
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Unknown,True,F&O,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_breakout,watchlist,46.56,62.25,53.62,10.0,46.56,62.25,63.62,17.68,26.81,2902729395.72,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong",44,49,Stage 2,watchlist,weekly_breakout,68.12,5,-4.500000000000007,False,False,False,False,False
SYRMA.NS,Syrma SGS Technology Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_forming,watchlist,43.63,65.8,53.61,10.0,43.63,65.8,63.61,40.78,117.33,1565581034.66,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",45,47,Stage 2,watchlist,weekly_forming,68.47,2,-4.859999999999999,False,False,False,False,False
BALAMINES.NS,Balaji Amines Limited,Chemicals,Unknown,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,Extended Stage 2,Stage 2 • Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-21,,watchlist,weekly_near_pivot,watchlist,45.88,73.8,58.44,5.0,45.88,73.8,63.44,84.6,103.86,763830370.02,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",46,56,Stage 2,watchlist,weekly_near_pivot,66.85,10,-3.4099999999999966,False,False,False,False,False
