Company Name,Industry,Symbol,Series,ISIN Code,f&o
Gujarat Pipavav Port Limited,Services,GPPL,EQ,INE517F01014,#N/A
Granules India Limited,Healthcare,GRANULES,EQ,INE101D01020,#N/A
Graphite India Limited,Capital Goods,GRAPHITE,EQ,INE371A01025,#N/A
Grasim Industries Limited,Construction Materials,GRASIM,EQ,INE047A01021,F&O
Gravita India Limited,Metals & Mining,GRAVITA,EQ,INE024L01027,#N/A
Greenlam Industries Limited,Consumer Durables,GREENLAM,EQ,INE544R01021,#N/A
Greenpanel Industries Limited,Consumer Durables,GREENPANEL,EQ,INE08ZM01014,#N/A
Grindwell Norton Limited,Capital Goods,GRINDWELL,EQ,INE536A01023,#N/A
G R Infraprojects Limited,Construction,GRINFRA,EQ,INE201P01022,#N/A
Garden Reach Shipbuilders & Engineers Limited,Capital Goods,GRSE,EQ,INE382Z01011,#N/A
Garware Hi-Tech Films Limited,Capital Goods,GRWRHITECH,EQ,INE291A01017,#N/A
Gujarat State Fertilizers & Chemicals Limited,Chemicals,GSFC,EQ,INE026A01025,#N/A
Gujarat State Petronet Limited,"Oil, Gas & Consumable Fuels",GSPL,EQ,INE246F01010,#N/A
Gujarat Alkalies and Chemicals Limited,Chemicals,GUJALKALI,EQ,INE186A01019,#N/A
Gujarat Gas Limited,"Oil, Gas & Consumable Fuels",GUJGASLTD,EQ,INE844O01030,#N/A
Gulf Oil Lubricants India Limited,"Oil, Gas & Consumable Fuels",GULFOILLUB,EQ,INE635Q01029,#N/A
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026,#N/A
Hindustan Aeronautics Limited,Capital Goods,HAL,EQ,INE066F01012,F&O
Happiest Minds Technologies Limited,Information Technology,HAPPSTMNDS,EQ,INE419U01012,#N/A
Harsha Engineers International Limited,Capital Goods,HARSHA,EQ,INE0JUS01029,#N/A
Hathway Cable & Datacom Limited,"Media, Entertainment & Publication",HATHWAY,EQ,INE982F01036,#N/A
Hatsun Agro Product Limited,Fast Moving Consumer Goods,HATSUN,EQ,INE473B01035,#N/A
Havells India Limited,Consumer Durables,HAVELLS,EQ,INE176B01034,F&O
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,#N/A
Hindustan Construction Company Limited,Construction,HCC,EQ,INE549A01026,#N/A
Healthcare Global Enterprises Limited,Healthcare,HCG,EQ,INE075I01017,#N/A
HCL Technologies Limited,Information Technology,HCLTECH,EQ,INE860A01027,F&O
HDFC Asset Management Company Limited,Financial Services,HDFCAMC,EQ,INE127D01025,F&O
HDFC Bank Limited,Financial Services,HDFCBANK,EQ,INE040A01034,F&O
HDFC Life Insurance Company Limited,Financial Services,HDFCLIFE,EQ,INE795G01014,F&O
HEG Limited,Capital Goods,HEG,EQ,INE545A01016,#N/A
HeidelbergCement India Limited,Construction Materials,HEIDELBERG,EQ,INE578A01017,#N/A
Hemisphere Properties India Limited,Realty,HEMIPROP,EQ,INE0AJG01018,#N/A
Hero MotoCorp Limited,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,F&O
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,#N/A
HFCL Limited,Telecommunication,HFCL,EQ,INE548A01028,#N/A
H.G. Infra Engineering Limited,Construction,HGINFRA,EQ,INE926X01010,#N/A
Hinduja Global Solutions Limited,Services,HGS,EQ,INE170I01016,#N/A
Hikal Limited,Healthcare,HIKAL,EQ,INE475B01022,#N/A
Hindalco Industries Limited,Metals & Mining,HINDALCO,EQ,INE038A01020,F&O
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,#N/A
Hindustan Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",HINDPETRO,EQ,INE094A01015,F&O
Hindustan Unilever Limited,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,F&O
Hindware Home Innovation Limited,Consumer Durables,HINDWAREAP,EQ,INE05AN01011,#N/A
Hindustan Zinc Limited,Metals & Mining,HINDZINC,EQ,INE267A01025,F&O
HLE Glascoat Limited,Capital Goods,HLEGLAS,EQ,INE461D01028,#N/A
Hindustan Foods Limited,Fast Moving Consumer Goods,HNDFDS,EQ,INE254N01026,#N/A
Home First Finance Company India Limited,Financial Services,HOMEFIRST,EQ,INE481N01025,#N/A
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,#N/A
Honeywell Automation India Limited,Capital Goods,HONAUT,EQ,INE671A01010,#N/A
Himadri Speciality Chemical Limited,Chemicals,HSCL,EQ,INE019C01026,#N/A
Housing & Urban Development Corporation Limited,Financial Services,HUDCO,EQ,INE031A01017,#N/A
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,F&O
ICICI Bank Limited,Financial Services,ICICIBANK,EQ,INE090A01021,F&O
ICICI Lombard General Insurance Company Limited,Financial Services,ICICIGI,EQ,INE765G01017,F&O
